                                                                                                       #config  avg(ms)    p50     p90     p99
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][256,28,28]   0.432   0.429   0.649   0.776
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][512,28,28]   0.553   0.579   0.587   0.869
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][512,28,28]   0.500   0.530   0.532   0.698
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[2][512,28,28]   0.053   0.051   0.051   0.060
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][512,14,14]   0.323   0.356   0.358   0.368
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][512,14,14]   0.352   0.381   0.382   0.387
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[2][512,14,14]   0.350   0.378   0.379   0.379
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[2][512,14,14]   0.052   0.061   0.062   0.065
                                                                          flatten{"kernel_size":1}[2][512,7,7]   0.018   0.024   0.024   0.025
                                           linear{"bias":true,"in_features":25088,"out_features":4096}[2]25088   1.899   1.911   1.914   1.911
                                             linear{"bias":true,"in_features":4096,"out_features":4096}[2]4096   0.379   0.377   0.379   0.452
                                             linear{"bias":true,"in_features":4096,"out_features":1000}[2]4096   0.047   0.047   0.048   0.048
                                                                                            SUM(avg)  9.198
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[1][3,224,224]   0.225   0.211   0.253   0.266
              conv2d{"in_channels":64,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[1][64,224,224]   0.571   0.494   0.720   0.774
                                              maxPool2d{"kernel_size":2,"padding":0,"stride":2}[1][64,224,224]   0.114   0.110   0.120   0.139
             conv2d{"in_channels":64,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[1][64,112,112]   0.311   0.226   0.488   0.577
           conv2d{"in_channels":128,"kernel_size":3,"out_channels":128,"padding":1,"stride":1}[1][128,112,112]   0.457   0.377   0.688   0.750
                                             maxPool2d{"kernel_size":2,"padding":0,"stride":2}[1][128,112,112]   0.081   0.069   0.113   0.118
             conv2d{"in_channels":128,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][128,56,56]   0.324   0.252   0.557   0.645
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,56,56]   0.409   0.339   0.672   0.718
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":256,"padding":1,"stride":1}[1][256,56,56]   0.391   0.324   0.639   0.714
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[1][256,56,56]   0.068   0.052   0.103   0.135
             conv2d{"in_channels":256,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][256,28,28]   0.338   0.291   0.370   0.648
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][512,28,28]   0.434   0.397   0.479   0.519
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][512,28,28]   0.395   0.358   0.439   0.449
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[1][512,28,28]   0.049   0.041   0.058   0.058
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][512,14,14]   0.300   0.270   0.341   0.348
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][512,14,14]   0.318   0.286   0.361   0.364
             conv2d{"in_channels":512,"kernel_size":3,"out_channels":512,"padding":1,"stride":1}[1][512,14,14]   0.314   0.282   0.358   0.362
                                               maxPool2d{"kernel_size":2,"padding":0,"stride":2}[1][512,14,14]   0.051   0.035   0.072   0.076
                                                                          flatten{"kernel_size":1}[1][512,7,7]   0.019   0.016   0.025   0.024
                                           linear{"bias":true,"in_features":25088,"out_features":4096}[1]25088   1.922   1.911   1.939   1.938
                                             linear{"bias":true,"in_features":4096,"out_features":4096}[1]4096   0.385   0.383   0.386   0.416
                                             linear{"bias":true,"in_features":4096,"out_features":1000}[1]4096   0.046   0.046   0.046   0.048
                                                                                            SUM(avg)  7.522											    
