                                                                                                       #config  avg(ms)    p50     p90     p99
           conv2d{"in_channels":2048,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[128][2048,8,8]   0.578   0.577   0.577   0.578
                                                                         concat{"kernel_size":1}[128][768,8,8]   0.096   0.096   0.096   0.097
     conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[128][384,8,8]   0.395   0.395   0.394   0.392
     conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[128][384,8,8]   0.382   0.381   0.383   0.383
                                                                         concat{"kernel_size":1}[128][768,8,8]   0.103   0.103   0.104   0.102
                                                                        concat{"kernel_size":1}[128][2048,8,8]   0.246   0.245   0.246   0.247
                                                adAvgPool2d{"output_height":1,"output_width":1}[128][2048,8,8]   0.173   0.174   0.174   0.174
                                                                       flatten{"kernel_size":1}[128][2048,1,1]   0.010   0.011   0.010   0.010
                                           linear{"bias":true,"in_features":2048,"out_features":1000}[128]2048   0.040   0.040   0.041   0.040
                                                                                            SUM(avg)  168.958
                                                                                                       #config  avg(ms)    p50     p90     p99
               conv2d{"in_channels":3,"kernel_size":3,"out_channels":32,"padding":0,"stride":2}[64][3,299,299]   1.175   1.171   1.193   1.231
             conv2d{"in_channels":32,"kernel_size":3,"out_channels":32,"padding":0,"stride":1}[64][32,149,149]   4.238   4.243   4.244   4.246
             conv2d{"in_channels":32,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[64][32,147,147]   5.389   5.389   5.388   5.389
                                             maxPool2d{"kernel_size":3,"padding":0,"stride":2}[64][64,147,147]   2.520   2.520   2.520   2.521
               conv2d{"in_channels":64,"kernel_size":1,"out_channels":80,"padding":0,"stride":1}[64][64,73,73]   1.096   1.095   1.097   1.099
              conv2d{"in_channels":80,"kernel_size":3,"out_channels":192,"padding":0,"stride":1}[64][80,73,73]   4.731   4.730   4.732   4.735
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[64][192,71,71]   2.277   2.277   2.278   2.278
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[64][192,35,35]   0.560   0.559   0.559   0.561
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[64][192,35,35]   0.494   0.494   0.494   0.493
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[64][192,35,35]   0.537   0.534   0.535   0.534
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[64][192,35,35]   1.317   1.318   1.317   1.317
               conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[64][48,35,35]   0.798   0.798   0.800   0.798
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[64][64,35,35]   0.673   0.673   0.672   0.674
             conv2d{"in_channels":192,"kernel_size":1,"out_channels":32,"padding":0,"stride":1}[64][192,35,35]   0.361   0.362   0.362   0.364
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[64][96,35,35]   0.848   0.848   0.846   0.847
                                                                        concat{"kernel_size":1}[64][256,35,35]   0.958   0.958   0.957   0.959
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[64][256,35,35]   0.704   0.705   0.704   0.703
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[64][256,35,35]   0.618   0.617   0.615   0.616
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[64][256,35,35]   0.673   0.673   0.673   0.676
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[64][256,35,35]   1.752   1.753   1.753   1.750
               conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[64][48,35,35]   0.800   0.800   0.798   0.801
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[64][64,35,35]   0.674   0.673   0.676   0.673
             conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[64][256,35,35]   0.700   0.700   0.700   0.701
               conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[64][96,35,35]   0.848   0.847   0.848   0.849
                                                                        concat{"kernel_size":1}[64][288,35,35]   1.064   1.063   1.061   1.062
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[64][288,35,35]   0.791   0.791   0.791   0.793
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[64][288,35,35]   0.693   0.692   0.694   0.691
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[64][288,35,35]   0.759   0.757   0.759   0.760
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[64][288,35,35]   1.969   1.967   1.969   1.969
               conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[64][48,35,35]   0.801   0.801   0.801   0.801
               conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[64][64,35,35]   0.674   0.676   0.676   0.672
             conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[64][288,35,35]   0.789   0.789   0.789   0.787
