                                                                                                       #config  avg(ms)    p50     p90     p99
    conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[16][128,17,17]   0.438   0.413   0.446   0.418
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.416   0.388   0.445   0.386
    conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[16][128,17,17]   0.480   0.447   0.553   0.452
    conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[16][128,17,17]   0.357   0.329   0.408   0.336
    conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[16][128,17,17]   0.411   0.398   0.458   0.401
    conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[16][128,17,17]   0.465   0.444   0.533   0.451
                                                                        concat{"kernel_size":1}[16][768,17,17]   0.327   0.330   0.345   0.318
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.430   0.416   0.483   0.419
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[16][768,17,17]   0.326   0.320   0.339   0.319
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[16][768,17,17]   0.394   0.387   0.466   0.387
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[16][768,17,17]   0.356   0.355   0.365   0.357
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[16][160,17,17]   0.380   0.373   0.451   0.357
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[16][160,17,17]   0.426   0.422   0.471   0.417
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.386   0.387   0.456   0.374
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[16][160,17,17]   0.475   0.474   0.514   0.478
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[16][160,17,17]   0.323   0.326   0.322   0.323
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[16][160,17,17]   0.426   0.417   0.429   0.424
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[16][160,17,17]   0.463   0.469   0.460   0.460
                                                                        concat{"kernel_size":1}[16][768,17,17]   0.327   0.316   0.335   0.320
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.418   0.412   0.411   0.458
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[16][768,17,17]   0.319   0.316   0.316   0.318
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[16][768,17,17]   0.392   0.388   0.409   0.389
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[16][768,17,17]   0.357   0.357   0.353   0.355
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[16][160,17,17]   0.376   0.384   0.373   0.375
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[16][160,17,17]   0.425   0.442   0.414   0.421
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.386   0.384   0.381   0.379
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[16][160,17,17]   0.466   0.457   0.457   0.480
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[16][160,17,17]   0.321   0.326   0.323   0.371
    conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[16][160,17,17]   0.424   0.426   0.415   0.495
    conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[16][160,17,17]   0.459   0.461   0.456   0.544
                                                                        concat{"kernel_size":1}[16][768,17,17]   0.326   0.333   0.319   0.337
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.420   0.413   0.417   0.472
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.291   0.295   0.294   0.292
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.350   0.350   0.344   0.351
                                              avgPool2d{"kernel_size":3,"padding":1,"stride":1}[16][768,17,17]   0.345   0.337   0.341   0.339
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[16][192,17,17]   0.396   0.385   0.392   0.389
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[16][192,17,17]   0.444   0.443   0.441   0.443
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.370   0.368   0.403   0.362
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[16][192,17,17]   0.468   0.458   0.479   0.460
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[16][192,17,17]   0.336   0.334   0.331   0.337
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[16][192,17,17]   0.456   0.452   0.452   0.454
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[16][192,17,17]   0.467   0.456   0.526   0.457
                                                                        concat{"kernel_size":1}[16][768,17,17]   0.288   0.342   0.279   0.286
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.379   0.400   0.364   0.372
            conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][768,17,17]   0.362   0.391   0.346   0.360
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[16][768,17,17]   0.168   0.165   0.167   0.176
            conv2d{"in_channels":192,"kernel_size":3,"out_channels":320,"padding":0,"stride":2}[16][192,17,17]   0.516   0.517   0.476   0.530
    conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[16][192,17,17]   0.523   0.614   0.499   0.502
    conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[16][192,17,17]   0.476   0.594   0.448   0.475
            conv2d{"in_channels":192,"kernel_size":3,"out_channels":192,"padding":0,"stride":2}[16][192,17,17]   0.425   0.514   0.393   0.418
                                                                         concat{"kernel_size":1}[16][1280,8,8]   0.316   0.329   0.353   0.314
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[16][1280,8,8]   0.448   0.459   0.485   0.427
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[16][1280,8,8]   0.444   0.341   0.529   0.461
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[16][1280,8,8]   0.343   0.309   0.374   0.311
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[16][1280,8,8]   0.160   0.153   0.165   0.163
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[16][384,8,8]   0.460   0.503   0.518   0.421
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[16][384,8,8]   0.461   0.517   0.537   0.457
              conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[16][448,8,8]   0.687   0.548   0.816   0.690
            conv2d{"in_channels":1280,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][1280,8,8]   0.381   0.414   0.412   0.360
                                                                          concat{"kernel_size":1}[16][768,8,8]   0.128   0.136   0.140   0.122
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[16][384,8,8]   0.466   0.494   0.537   0.477
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[16][384,8,8]   0.441   0.384   0.527   0.439
                                                                          concat{"kernel_size":1}[16][768,8,8]   0.118   0.130   0.127   0.115
                                                                         concat{"kernel_size":1}[16][2048,8,8]   0.411   0.439   0.444   0.418
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[16][2048,8,8]   0.621   0.634   0.647   0.646
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[16][2048,8,8]   0.491   0.510   0.506   0.458
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[16][2048,8,8]   0.467   0.482   0.486   0.437
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[16][2048,8,8]   0.234   0.235   0.235   0.236
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[16][384,8,8]   0.472   0.495   0.490   0.511
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[16][384,8,8]   0.508   0.481   0.500   4.168
              conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[16][448,8,8]   0.804   0.855   0.866   0.773
            conv2d{"in_channels":2048,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[16][2048,8,8]   0.432   0.439   0.455   0.448
                                                                          concat{"kernel_size":1}[16][768,8,8]   0.148   0.148   0.149   0.147
      conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[16][384,8,8]   0.510   0.525   0.536   0.457
      conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[16][384,8,8]   0.498   0.520   0.523   0.441
                                                                          concat{"kernel_size":1}[16][768,8,8]   0.142   0.155   0.148   0.158
                                                                         concat{"kernel_size":1}[16][2048,8,8]   0.232   0.235   0.243   0.244
                                                 adAvgPool2d{"output_height":1,"output_width":1}[16][2048,8,8]   0.193   0.188   0.217   0.228
                                                                        flatten{"kernel_size":1}[16][2048,1,1]   0.128   0.133   0.150   0.187
                                            linear{"bias":true,"in_features":2048,"out_features":1000}[16]2048   0.160   0.161   0.160   0.162
                                                                                            SUM(avg)  51.653
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":3,"out_channels":32,"padding":0,"stride":2}[8][3,299,299]   0.262   0.259   0.269   0.293
              conv2d{"in_channels":32,"kernel_size":3,"out_channels":32,"padding":0,"stride":1}[8][32,149,149]   0.616   0.614   0.626   0.622
              conv2d{"in_channels":32,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[8][32,147,147]   0.840   0.840   0.846   0.854
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[8][64,147,147]   0.340   0.340   0.340   0.340
                conv2d{"in_channels":64,"kernel_size":1,"out_channels":80,"padding":0,"stride":1}[8][64,73,73]   0.202   0.203   0.201   0.202
               conv2d{"in_channels":80,"kernel_size":3,"out_channels":192,"padding":0,"stride":1}[8][80,73,73]   0.906   0.907   0.913   0.916
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[8][192,71,71]   0.461   0.460   0.464   0.464
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[8][192,35,35]   0.273   0.273   0.276   0.270
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[8][192,35,35]   0.340   0.341   0.342   0.343
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[8][192,35,35]   0.290   0.286   0.291   0.287
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[8][192,35,35]   0.246   0.249   0.247   0.243
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[8][48,35,35]   0.484   0.480   0.486   0.495
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[8][64,35,35]   0.482   0.479   0.481   0.492
              conv2d{"in_channels":192,"kernel_size":1,"out_channels":32,"padding":0,"stride":1}[8][192,35,35]   0.257   0.263   0.256   0.259
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[8][96,35,35]   0.522   0.521   0.517   0.524
                                                                         concat{"kernel_size":1}[8][256,35,35]   0.306   0.296   0.313   0.321
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[8][256,35,35]   0.410   0.411   0.411   0.406
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[8][256,35,35]   0.352   0.354   0.353   0.354
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[8][256,35,35]   0.272   0.275   0.274   0.277
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[8][256,35,35]   0.299   0.299   0.302   0.300
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[8][48,35,35]   0.443   0.447   0.460   0.456
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[8][64,35,35]   0.464   0.474   0.499   0.471
              conv2d{"in_channels":256,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[8][256,35,35]   0.334   0.338   0.335   0.352
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[8][96,35,35]   0.513   0.525   0.521   0.533
                                                                         concat{"kernel_size":1}[8][288,35,35]   0.306   0.316   0.285   0.311
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[8][288,35,35]   0.403   0.414   0.416   0.411
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":48,"padding":0,"stride":1}[8][288,35,35]   0.368   0.374   0.363   0.378
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[8][288,35,35]   0.246   0.251   0.242   0.250
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[8][288,35,35]   0.326   0.329   0.340   0.331
                conv2d{"in_channels":48,"kernel_size":5,"out_channels":64,"padding":2,"stride":1}[8][48,35,35]   0.430   0.434   0.433   0.443
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[8][64,35,35]   0.450   0.472   0.475   0.452
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[8][288,35,35]   0.330   0.347   0.335   0.346
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[8][96,35,35]   0.492   0.514   0.516   0.519
                                                                         concat{"kernel_size":1}[8][288,35,35]   0.287   0.293   0.290   0.293
             conv2d{"in_channels":288,"kernel_size":3,"out_channels":384,"padding":0,"stride":2}[8][288,35,35]   0.697   0.727   0.731   0.742
              conv2d{"in_channels":288,"kernel_size":1,"out_channels":64,"padding":0,"stride":1}[8][288,35,35]   0.326   0.348   0.344   0.368
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[8][288,35,35]   0.144   0.152   0.154   0.153
                conv2d{"in_channels":64,"kernel_size":3,"out_channels":96,"padding":1,"stride":1}[8][64,35,35]   0.423   0.450   0.455   0.466
                conv2d{"in_channels":96,"kernel_size":3,"out_channels":96,"padding":0,"stride":2}[8][96,35,35]   0.321   0.332   0.363   0.357
                                                                         concat{"kernel_size":1}[8][768,17,17]   0.331   0.334   0.360   0.364
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.417   0.417   0.449   0.459
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[8][768,17,17]   0.267   0.235   0.296   0.305
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":128,"padding":0,"stride":1}[8][768,17,17]   0.353   0.331   0.379   0.386
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[8][768,17,17]   0.222   0.210   0.235   0.241
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[8][128,17,17]   0.351   0.324   0.378   0.385
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[8][128,17,17]   0.382   0.356   0.407   0.404
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.384   0.354   0.415   0.421
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[8][128,17,17]   0.428   0.395   0.468   0.477
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":128,"padding":[0,3],"stride":1}[8][128,17,17]   0.365   0.338   0.386   0.397
     conv2d{"in_channels":128,"kernel_size":[7,1],"out_channels":128,"padding":[3,0],"stride":1}[8][128,17,17]   0.373   0.353   0.403   0.415
     conv2d{"in_channels":128,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[8][128,17,17]   0.428   0.399   0.469   0.482
                                                                         concat{"kernel_size":1}[8][768,17,17]   0.345   0.331   0.388   0.389
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.415   0.401   0.448   0.455
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[8][768,17,17]   0.277   0.252   0.312   0.323
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[8][768,17,17]   0.331   0.305   0.366   0.368
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[8][768,17,17]   0.214   0.204   0.230   0.233
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[8][160,17,17]   0.407   0.380   0.443   0.450
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[8][160,17,17]   0.401   0.383   0.448   0.451
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.374   0.360   0.417   0.418
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[8][160,17,17]   0.414   0.392   0.467   0.468
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[8][160,17,17]   0.400   0.376   0.449   0.453
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[8][160,17,17]   0.414   0.399   0.470   0.470
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[8][160,17,17]   0.414   0.397   0.469   0.488
                                                                         concat{"kernel_size":1}[8][768,17,17]   0.349   0.340   0.383   0.381
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.405   0.391   0.443   0.453
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[8][768,17,17]   0.267   0.263   0.307   0.326
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":160,"padding":0,"stride":1}[8][768,17,17]   0.324   0.308   0.367   0.369
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[8][768,17,17]   0.212   0.201   0.236   0.234
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[8][160,17,17]   0.399   0.387   0.438   0.444
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[8][160,17,17]   0.399   0.376   0.462   0.455
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.374   0.358   0.422   0.423
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[8][160,17,17]   0.411   0.390   0.466   0.466
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":160,"padding":[0,3],"stride":1}[8][160,17,17]   0.400   0.386   0.446   0.476
     conv2d{"in_channels":160,"kernel_size":[7,1],"out_channels":160,"padding":[3,0],"stride":1}[8][160,17,17]   0.412   0.400   0.456   0.469
     conv2d{"in_channels":160,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[8][160,17,17]   0.412   0.399   0.466   0.496
                                                                         concat{"kernel_size":1}[8][768,17,17]   0.346   0.357   0.385   0.382
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.427   0.427   0.443   0.453
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.256   0.242   0.301   0.490
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.340   0.329   0.391   0.437
                                               avgPool2d{"kernel_size":3,"padding":1,"stride":1}[8][768,17,17]   0.206   0.202   0.231   0.241
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[8][192,17,17]   0.431   0.415   0.507   0.726
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[8][192,17,17]   0.412   0.402   0.470   0.715
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.369   0.353   0.457   0.412
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[8][192,17,17]   0.453   0.442   0.491   0.539
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[8][192,17,17]   0.403   0.403   0.400   0.656
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[8][192,17,17]   0.421   0.421   0.418   0.737
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[8][192,17,17]   0.438   0.418   0.469   0.696
                                                                         concat{"kernel_size":1}[8][768,17,17]   0.312   0.346   0.282   0.335
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.414   0.458   0.368   0.652
             conv2d{"in_channels":768,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][768,17,17]   0.345   0.403   0.306   0.347
                                               maxPool2d{"kernel_size":3,"padding":0,"stride":2}[8][768,17,17]   0.113   0.114   0.110   0.143
             conv2d{"in_channels":192,"kernel_size":3,"out_channels":320,"padding":0,"stride":2}[8][192,17,17]   0.500   0.565   0.560   0.782
     conv2d{"in_channels":192,"kernel_size":[1,7],"out_channels":192,"padding":[0,3],"stride":1}[8][192,17,17]   0.498   0.587   0.446   0.604
     conv2d{"in_channels":192,"kernel_size":[7,1],"out_channels":192,"padding":[3,0],"stride":1}[8][192,17,17]   0.450   0.518   0.382   0.716
             conv2d{"in_channels":192,"kernel_size":3,"out_channels":192,"padding":0,"stride":2}[8][192,17,17]   0.397   0.465   0.358   0.641
                                                                          concat{"kernel_size":1}[8][1280,8,8]   0.331   0.289   0.357   0.451
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[8][1280,8,8]   0.426   0.428   0.462   0.480
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[8][1280,8,8]   0.441   0.426   0.523   0.554
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[8][1280,8,8]   0.330   0.299   0.394   0.433
                                                avgPool2d{"kernel_size":3,"padding":1,"stride":1}[8][1280,8,8]   0.102   0.103   0.108   0.115
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[8][384,8,8]   0.420   0.436   0.477   0.499
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[8][384,8,8]   0.422   0.354   0.484   0.552
               conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[8][448,8,8]   0.671   0.605   0.824   0.865
             conv2d{"in_channels":1280,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][1280,8,8]   0.361   0.395   0.389   0.413
                                                                           concat{"kernel_size":1}[8][768,8,8]   0.128   0.120   0.141   0.143
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[8][384,8,8]   0.432   0.361   0.512   0.537
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[8][384,8,8]   0.402   0.382   0.487   0.516
                                                                           concat{"kernel_size":1}[8][768,8,8]   0.118   0.115   0.124   0.134
                                                                          concat{"kernel_size":1}[8][2048,8,8]   0.411   0.409   0.437   0.471
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":320,"padding":0,"stride":1}[8][2048,8,8]   0.619   0.622   0.637   0.665
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":384,"padding":0,"stride":1}[8][2048,8,8]   0.512   0.517   0.528   0.647
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":448,"padding":0,"stride":1}[8][2048,8,8]   0.398   0.410   0.415   0.471
                                                avgPool2d{"kernel_size":3,"padding":1,"stride":1}[8][2048,8,8]   0.144   0.143   0.145   0.147
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[8][384,8,8]   0.456   0.448   0.464   0.486
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[8][384,8,8]   0.488   0.491   0.489   0.517
               conv2d{"in_channels":448,"kernel_size":3,"out_channels":384,"padding":1,"stride":1}[8][448,8,8]   0.784   0.810   0.813   0.958
             conv2d{"in_channels":2048,"kernel_size":1,"out_channels":192,"padding":0,"stride":1}[8][2048,8,8]   0.421   0.427   0.423   0.424
                                                                           concat{"kernel_size":1}[8][768,8,8]   0.142   0.139   0.142   0.151
       conv2d{"in_channels":384,"kernel_size":[1,3],"out_channels":384,"padding":[0,1],"stride":1}[8][384,8,8]   0.500   0.504   0.511   0.530
       conv2d{"in_channels":384,"kernel_size":[3,1],"out_channels":384,"padding":[1,0],"stride":1}[8][384,8,8]   0.477   0.479   0.488   0.511
                                                                           concat{"kernel_size":1}[8][768,8,8]   0.145   0.141   0.155   0.171
                                                                          concat{"kernel_size":1}[8][2048,8,8]   0.229   0.234   0.237   0.250
                                                  adAvgPool2d{"output_height":1,"output_width":1}[8][2048,8,8]   0.176   0.169   0.190   0.217
                                                                         flatten{"kernel_size":1}[8][2048,1,1]   0.121   0.124   0.150   0.166
                                             linear{"bias":true,"in_features":2048,"out_features":1000}[8]2048   0.117   0.116   0.113   0.116
                                                                                            SUM(avg)  46.795
                                                                                                       #config  avg(ms)    p50     p90     p99
                conv2d{"in_channels":3,"kernel_size":3,"out_channels":32,"padding":0,"stride":2}[4][3,299,299]   0.227   0.227   0.228   0.243
              conv2d{"in_channels":32,"kernel_size":3,"out_channels":32,"padding":0,"stride":1}[4][32,149,149]   0.438   0.441   0.441   0.439
              conv2d{"in_channels":32,"kernel_size":3,"out_channels":64,"padding":1,"stride":1}[4][32,147,147]   0.608   0.611   0.615   0.626
                                              maxPool2d{"kernel_size":3,"padding":0,"stride":2}[4][64,147,147]   0.208   0.210   0.207   0.206
